,Video_URL,Thumbnails_URL,Title,Views,Published_date
26,https://www.youtube.com/watch?v=lcllqe2yW8M,https://i.ytimg.com/vi/lcllqe2yW8M/hqdefault.jpg,3 Saal Lajawab With Alakh Sir #physicswallah #pwshorts  #pw #shorts #nightchanges,101180,2023-05-28
27,https://www.youtube.com/watch?v=uqDX6hcRf2I,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg,NEEV 2.0 Batch 🔥 | Class 9th वालों के बच्चें के लिए Surprises 🎉🎉 #3SaalLajawaab,28460,2023-05-28
28,https://www.youtube.com/watch?v=7JKfeZiDWa4,https://i.ytimg.com/vi/7JKfeZiDWa4/hqdefault.jpg,PW ki Family Paunche 3 saal ke celebration Place pe 🔥🔥 | #3SaalLajawab #PWShorts #PhysicsWallah,93313,2023-05-27
29,https://www.youtube.com/watch?v=ZK3VTqZUfUE,https://i.ytimg.com/vi/ZK3VTqZUfUE/hqdefault.jpg,Class 10th BASICS ZOOLOGY in 1 Video || Maha-Marathon Session || Arjuna NEET Class 11 Batch,20962,2023-05-26
30,https://www.youtube.com/watch?v=tLfgIie78fI,https://i.ytimg.com/vi/tLfgIie78fI/hqdefault.jpg,Let's Celebrate this 3 Years Together..!! 🤯🔥 #3SaalLajawab #PWShorts #PhysicsWallah,65550,2023-05-26
31,https://www.youtube.com/watch?v=B8jExVF_rNg,https://i.ytimg.com/vi/B8jExVF_rNg/hqdefault.jpg,Class 10th BASICS CHEMISTRY  in 1 Video || Maha-Marathon Session || Arjuna JEE/NEET Class 11 Batch,79925,2023-05-25
32,https://www.youtube.com/watch?v=9ZVfDuqKIQM,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg,How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! 🔥,16236,2023-05-24
33,https://www.youtube.com/watch?v=I-bKh7kxXbo,https://i.ytimg.com/vi/I-bKh7kxXbo/hqdefault.jpg,क्या Apko ये खबर मिली?🤩 #3SaalLajawab #PWShorts #PhysicsWallah,36664,2023-05-24
34,https://www.youtube.com/watch?v=SBw0GKnzfA8,https://i.ytimg.com/vi/SBw0GKnzfA8/hqdefault.jpg,हम सब भी Apke साथ End तक रहेंगे..!! 🔥 #PWShorts #PhysicsWallah,25556,2023-05-24
35,https://www.youtube.com/watch?v=wYA-idS4fsY,https://i.ytimg.com/vi/wYA-idS4fsY/hqdefault.jpg,बस अपने Teachers को Follow करना है..🤩 #PWShorts #PhysicsWallah,16443,2023-05-24
36,https://www.youtube.com/watch?v=-c8Py7JULLs,https://i.ytimg.com/vi/-c8Py7JULLs/hqdefault.jpg,पढ़ना तो Aapko ही पड़ेगा..!! 🫵🏻 #PWShorts #PhysicsWallah,9495,2023-05-24
37,https://www.youtube.com/watch?v=ZnGn1p1BBFk,https://i.ytimg.com/vi/ZnGn1p1BBFk/hqdefault.jpg,अब Maths को हल्के में मत लेना..!! 🤯 #PWShorts #PhysicsWallah,194057,2023-05-24
38,https://www.youtube.com/watch?v=72pjPm3xq3Q,https://i.ytimg.com/vi/72pjPm3xq3Q/hqdefault.jpg,आपको Dedication के साथ पढ़ना होगा..!! 🔥 #PWShorts #PhysicsWallah,11688,2023-05-24
39,https://www.youtube.com/watch?v=1d5oL4YOZJ0,https://i.ytimg.com/vi/1d5oL4YOZJ0/hqdefault.jpg,Class 10th BASICS BOTANY in 1 Video || Maha-Marathon Session || Arjuna NEET Class 11 Batch,39040,2023-05-23
40,https://www.youtube.com/watch?v=YLlaKb5MGVM,https://i.ytimg.com/vi/YLlaKb5MGVM/hqdefault.jpg,Sanyam Sir With Our Students..!! 🔥💪 #PWShorts #PhysicsWallah,51186,2023-05-23
41,https://www.youtube.com/watch?v=8Tupz6oXaIc,https://i.ytimg.com/vi/8Tupz6oXaIc/hqdefault.jpg,इस Journey में थोड़ा Jalna पडेगा..!! 💥 #PWShorts #PhysicsWallah,21155,2023-05-23
42,https://www.youtube.com/watch?v=1wMGzlQTyeM,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg,How To Prepare For National Science Olympiad? 🔥 || A Complete Guide For Class 9th & 10th Students,60341,2023-05-23
43,https://www.youtube.com/watch?v=zSVxqNceDnM,https://i.ytimg.com/vi/zSVxqNceDnM/hqdefault.jpg,Basic se Advance Tak Padhanege..!! 💪🔥 #PWShorts #PhysicsWallah,69676,2023-05-23
44,https://www.youtube.com/watch?v=6UC07Flk2WA,https://i.ytimg.com/vi/6UC07Flk2WA/hqdefault.jpg,अब  IIT-JEE में भी फोडोगे..!! 🔥 #PWShorts #PhysicsWallah,42252,2023-05-23
45,https://www.youtube.com/watch?v=rMDCQN4-6Mk,https://i.ytimg.com/vi/rMDCQN4-6Mk/hqdefault.jpg,अब IIT-JEE में जाने का Sapna सच होगा..!! 💪 #PWShorts #PhysicsWallah,12318,2023-05-23
46,https://www.youtube.com/watch?v=7WMZh-YHJyA,https://i.ytimg.com/vi/7WMZh-YHJyA/hqdefault.jpg,"Baaki Sab Thik, Bass Chal Raha Hai🤩 || PW Foundation #Shorts #PhysicsWallah",45240,2023-05-23
47,https://www.youtube.com/watch?v=mUxN5eDc2t4,https://i.ytimg.com/vi/mUxN5eDc2t4/hqdefault.jpg,IIT JEE vs NEET - Which is the Best Career Options for you?,28902,2023-05-22
48,https://www.youtube.com/watch?v=KT_SwTBDVPY,https://i.ytimg.com/vi/KT_SwTBDVPY/hqdefault.jpg,First 2 Class Free in UDAAN-HINDI 🔥🤩 #PWShorts #PhysicsWallah,17688,2023-05-22
49,https://www.youtube.com/watch?v=ivS0xPAbVUs,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg,How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! 🔥,24886,2023-05-22
50,https://www.youtube.com/watch?v=rcm5WpjSHqY,https://i.ytimg.com/vi/rcm5WpjSHqY/hqdefault.jpg,Class 10th BASICS PHYSICS in 1 Video || Maha-Marathon Session || Arjuna JEE Class 11 Batch,108264,2023-05-21
51,https://www.youtube.com/watch?v=b4JQWXw90HU,https://i.ytimg.com/vi/b4JQWXw90HU/hqdefault.jpg,PW Faculties are Saviour 💥🔥 #PWShorts #PhysicsWallah,813677,2023-05-21
52,https://www.youtube.com/watch?v=tWv9a4S3OVA,https://i.ytimg.com/vi/tWv9a4S3OVA/hqdefault.jpg,CLASS में तो मचा डाला..!! 💥🔥 #PWShorts #PhysicsWallah,26307,2023-05-21
53,https://www.youtube.com/watch?v=9sv7vdtfigA,https://i.ytimg.com/vi/9sv7vdtfigA/hqdefault.jpg,अब IIT-JEE फोडना है..!! 💥🔥 #PWShorts #PhysicsWallah,18223,2023-05-21
54,https://www.youtube.com/watch?v=KOsto8rgxVU,https://i.ytimg.com/vi/KOsto8rgxVU/hqdefault.jpg,Udaan Batch से बहुत फ़ायदा हुआ..!! 🔥💪🏻 #PWShorts #PhysicsWallah,13824,2023-05-21
55,https://www.youtube.com/watch?v=9me2i83cMSQ,https://i.ytimg.com/vi/9me2i83cMSQ/hqdefault.jpg,Class 10th BASICS MATHS in 1 Video || Maha-Marathon Session || Arjuna JEE Class 11 Batch,263419,2023-05-20
56,https://www.youtube.com/watch?v=j4RU4kJaCQA,https://i.ytimg.com/vi/j4RU4kJaCQA/hqdefault.jpg,Important Notice For Class-9th Students..!!🤯 #PWShorts #PhysicsWallah,35253,2023-05-20
57,https://www.youtube.com/watch?v=UJb799ZLCwQ,https://i.ytimg.com/vi/UJb799ZLCwQ/hqdefault.jpg,Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,42386,2023-05-20
58,https://www.youtube.com/watch?v=9fmdIn87L8k,https://i.ytimg.com/vi/9fmdIn87L8k/hqdefault.jpg,खाना पकने के बाद का Raaz..!! 🫢🤯 #PWShorts #PhysicsWallah,17243,2023-05-20
59,https://www.youtube.com/watch?v=RPCHRtdO9hg,https://i.ytimg.com/vi/RPCHRtdO9hg/hqdefault.jpg,Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 🔥,20655,2023-05-19
60,https://www.youtube.com/watch?v=tqbuy9prODQ,https://i.ytimg.com/vi/tqbuy9prODQ/hqdefault.jpg,Mathsउतनी Tough नहीं होती जितनी लगती है..!!💯🤩  #PWShorts #PhysicsWallah,15533,2023-05-19
61,https://www.youtube.com/watch?v=8evKerhh0js,https://i.ytimg.com/vi/8evKerhh0js/hqdefault.jpg,Paper को Present करना आना चाहिए..!!📚💯  #PWShorts #PhysicsWallah,5302,2023-05-19
62,https://www.youtube.com/watch?v=d_xQRGNGneY,https://i.ytimg.com/vi/d_xQRGNGneY/hqdefault.jpg,अपने Distraction को कैसे Control किया?..!!😱🔥  #PWShorts #PhysicsWallah,14825,2023-05-19
63,https://www.youtube.com/watch?v=8bAN_WPMbVo,https://i.ytimg.com/vi/8bAN_WPMbVo/hqdefault.jpg,अब PW से ही Connected रहना है..!! 💥💪🏻 #PWShorts #PhysicsWallah,19423,2023-05-19
64,https://www.youtube.com/watch?v=i5UjFS3Cs3w,https://i.ytimg.com/vi/i5UjFS3Cs3w/hqdefault.jpg,Khud को कभी Demotivate मत होने दो..!!🤩  #PWShorts #PhysicsWallah,3495,2023-05-19
65,https://www.youtube.com/watch?v=aW52KE8qLP0,https://i.ytimg.com/vi/aW52KE8qLP0/hqdefault.jpg,यही Strategy Follow करो..!!💥 #PWShorts #PhysicsWallah,8283,2023-05-19
66,https://www.youtube.com/watch?v=G6waGgmAVsA,https://i.ytimg.com/vi/G6waGgmAVsA/hqdefault.jpg,Consistency Maintain रखना पडेगा..!!💪🏻 #PWShorts #PhysicsWallah #icseboard,9180,2023-05-19
67,https://www.youtube.com/watch?v=YHc8CxQXLao,https://i.ytimg.com/vi/YHc8CxQXLao/hqdefault.jpg,Result के बाद वाली खुशी..!!🔥  #PWShorts #PhysicsWallah,8981,2023-05-19
68,https://www.youtube.com/watch?v=MTKSLZE46M4,https://i.ytimg.com/vi/MTKSLZE46M4/hqdefault.jpg,Self-Study भी बहुत जरूरी है..!! 💪🏻🔥 #PWShorts #PhysicsWallah,5563,2023-05-19
69,https://www.youtube.com/watch?v=V_O9QgnuwcE,https://i.ytimg.com/vi/V_O9QgnuwcE/hqdefault.jpg,Revision करना बहुत जरूरी है..!! 💥 #PWShorts #PhysicsWallah,4778,2023-05-19
70,https://www.youtube.com/watch?v=tkJfXCcat20,https://i.ytimg.com/vi/tkJfXCcat20/hqdefault.jpg,Power of Consistency..!! 💪🏻#PWShorts #PhysicsWallah icse board,6625,2023-05-19
71,https://www.youtube.com/watch?v=hfYthzhjZUs,https://i.ytimg.com/vi/hfYthzhjZUs/hqdefault.jpg,अब तो Khushi का ठिकाना नहीं Raha..!! 🔥🤯 #PWShorts #PhysicsWallah,6943,2023-05-19
72,https://www.youtube.com/watch?v=3XspyPycnIQ,https://i.ytimg.com/vi/3XspyPycnIQ/hqdefault.jpg,अब और भी Confidence आ गया है..!! 🤩 #PWShorts #PhysicsWallah,4460,2023-05-19
73,https://www.youtube.com/watch?v=FD3jEFnhatk,https://i.ytimg.com/vi/FD3jEFnhatk/hqdefault.jpg,सारे Basic Concepts Clear किए हैं PW ने..!! 💥📚 PWShorts #PhysicsWallah,9097,2023-05-19
74,https://www.youtube.com/watch?v=rzQzuKXwGbk,https://i.ytimg.com/vi/rzQzuKXwGbk/hqdefault.jpg,Time को कैसे  Manageकरना है?..!!💥  #PWShorts #PhysicsWallah,2535,2023-05-19
75,https://www.youtube.com/watch?v=aUSe2WfdaaA,https://i.ytimg.com/vi/aUSe2WfdaaA/hqdefault.jpg,Daily Practice Is Important..!!💪🏻  #PWShorts #PhysicsWallah,4217,2023-05-19
76,https://www.youtube.com/watch?v=cPZ2b2jizMA,https://i.ytimg.com/vi/cPZ2b2jizMA/hqdefault.jpg,PW के Faculties ने बहुत Help की है...!!🔥  #PWShorts #PhysicsWallah #icseboard,4348,2023-05-19
77,https://www.youtube.com/watch?v=IhZjCppGbQg,https://i.ytimg.com/vi/IhZjCppGbQg/hqdefault.jpg,Parents भी बहुत खुश हुए..!!🥹 #PWShorts #PhysicsWallah #icseboard,6197,2023-05-19
78,https://www.youtube.com/watch?v=iN2UWJW3lzo,https://i.ytimg.com/vi/iN2UWJW3lzo/hqdefault.jpg,How To Plan Maths Strategy For Class -10th To Score 95%+ Marks || CBSE Boards 🔥,308909,2023-05-18
79,https://www.youtube.com/watch?v=A5Xp5H87sxQ,https://i.ytimg.com/vi/A5Xp5H87sxQ/hqdefault.jpg,Victory Batch से पढ़के सभी Concepts Clear हो गए...!!📚   #PWShorts #PhysicsWallah,5877,2023-05-18
80,https://www.youtube.com/watch?v=RupC1za2AW0,https://i.ytimg.com/vi/RupC1za2AW0/hqdefault.jpg,Toppers  की Strategy जानलो..!!💥  #PWShorts #PhysicsWallah,6879,2023-05-18
81,https://www.youtube.com/watch?v=CqfCyPtVqkg,https://i.ytimg.com/vi/CqfCyPtVqkg/hqdefault.jpg,A Strong Message From ICSE Topper..!! 💥 #PWShorts #PhysicsWallah,6005,2023-05-18
82,https://www.youtube.com/watch?v=4tXmJzHMNa8,https://i.ytimg.com/vi/4tXmJzHMNa8/hqdefault.jpg,कुछ खास यादें PW के साथ..!!❤️ #PWShorts #PhysicsWallah,6680,2023-05-18
83,https://www.youtube.com/watch?v=4ikVPoYTQs0,https://i.ytimg.com/vi/4ikVPoYTQs0/hqdefault.jpg,PW के साथ एक अलग Motivation आया..!! 💪🏻🔥 #PWShorts #PhysicsWallah,4179,2023-05-18
84,https://www.youtube.com/watch?v=lRle7Jzciq8,https://i.ytimg.com/vi/lRle7Jzciq8/hqdefault.jpg,Meet Dilisha Rajput : The Topper of Our CBSE Board Class - 10th 2023 🔥,15981,2023-05-18
